OBJECTID,WD19CD,WD19NM,WD19NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E05000026,Abbey, ,544433,184379,0.081277,51.53983,1282925.0014801,6244.88501467796,f58f4725-0c84-41eb-8ec0-648593128ca5
2,E05000027,Alibon, ,549247,185196,0.150987,51.54592,1364442.12162018,6353.91764044644,6c3239ec-632c-4be6-924d-65b2d9b5e3f3
3,E05000028,Becontree, ,546863,185869,0.116912,51.5526,1288081.76992798,6341.64581702421,01d9e929-3583-4fcc-b71d-2234c05eef34
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.58342,3384190.44783783,9603.41157108751,19e2e2c6-095f-4477-8654-2b30953fb4f0
5,E05000030,Eastbrook, ,550774,186272,0.173453,51.55519,3450576.54776001,8987.80224820554,f1597e10-eb80-4725-b410-5540a6ec6d5b
6,E05000031,Eastbury, ,546074,183978,0.104756,51.53581,1439218.19690704,6828.1438710507,cc7b2bee-7813-49a8-8f5d-0e5f904f27be
7,E05000032,Gascoigne, ,544762,183580,0.085689,51.53257,1138715.73904419,5947.83020850527,dfe453cb-b981-459e-bc39-5907a7afb82e
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.53604,1277822.95815277,5703.29651756231,e89f8d09-4626-4454-b119-7cfd22b840d5
9,E05000034,Heath, ,549340,186620,0.152931,51.55869,2001301.29299927,8064.9527624832,81534bdc-010f-4774-916e-e1f2d4bd57ba
10,E05000035,Longbridge, ,545276,184914,0.093644,51.54443,1645288.95414734,6377.03155542726,bf7719d7-5249-499b-ab16-d016902f693c
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.54519,1856444.30871582,7635.29926835939,acc592af-8591-46ff-ba6a-82f2c98f5acb
12,E05000037,Parsloes, ,548150,185599,0.135348,51.54983,1243847.20537567,6796.70598930549,b0d76ab5-139a-4516-8033-75de5977c684
13,E05000038,River, ,549432,182817,0.152645,51.5245,3543669.35321045,10383.7070517469,1f5adb64-50e1-44e4-a1a3-aa25001d7d2a
14,E05000039,Thames, ,547155,182705,0.1198,51.52409,7888495.48071289,13329.8852702118,c25c5b5c-ea7f-4378-b9f5-481e93584804
15,E05000040,Valence, ,548153,186867,0.135925,51.56123,1292828.18095398,5791.45630438563,72623179-142a-4270-a205-2de548b891d8
16,E05000041,Village, ,550361,184190,0.166611,51.53659,2147501.07157135,7860.12033991781,4bdb1037-037e-4fa6-be1e-d902afcfd3f1
17,E05000042,Whalebone, ,548545,187662,0.141911,51.56827,1553977.96258545,7013.80320701682,3292ba95-3562-4401-8881-33e88c515467
18,E05000043,Brunswick Park, ,528433,193715,-0.14588,51.6276,3175248.42088318,8411.15172031153,1623f7c4-bda8-4e46-813b-5055a34e2e42
19,E05000044,Burnt Oak, ,520522,190761,-0.26113,51.6028,2067226.00695801,6779.83385206719,57c0c34c-4baf-443f-95d2-36d94519917d
20,E05000045,Childs Hill, ,524656,186687,-0.20291,51.56529,3093004.36884308,9327.44865575852,aa1e410b-77d0-4f2d-8d15-146047dff455
21,E05000046,Colindale, ,521442,189584,-0.24826,51.59202,2636243.08140564,8455.92241230769,da521db1-b9fe-40d3-bef5-a64f38fceb11
22,E05000047,Coppetts, ,528052,191830,-0.15207,51.61075,2720606.9200058,7975.26647758079,f6b660c0-d2e0-44b3-abde-273a02fbee52
23,E05000048,East Barnet, ,527475,195754,-0.15897,51.64614,3749406.44200134,9677.14401246098,6da0e83f-f4ec-4ebc-977a-20ccee2ef386
24,E05000049,East Finchley, ,526811,190033,-0.17063,51.59488,2509887.79894257,8188.45375106017,46c9a94b-e21e-4617-9339-c4eeb43cbb7e
25,E05000050,Edgware, ,518863,193351,-0.2842,51.62643,5556470.24342346,12882.6957931172,94a39e7a-94da-4c08-93e2-25bbf3182eaa
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.59681,2725663.47789001,8223.78596667654,a1f65968-7bed-4639-a5fd-309046ee3f23
27,E05000052,Garden Suburb, ,526124,188445,-0.18112,51.58076,4727042.00834656,10448.1255943854,d5aacc04-6892-4f42-8689-907c5d0ffce8
28,E05000053,Golders Green, ,523819,187290,-0.21477,51.57089,2972917.99311066,9407.98202116642,f61d3cf2-65b6-4635-bda7-d37d7c81f8e4
29,E05000054,Hale, ,520890,193803,-0.25477,51.63006,5423187.92069244,15683.3988111888,2d49ada2-1287-48a8-af45-c63b29c5d80d
30,E05000055,Hendon, ,523084,189557,-0.22458,51.59143,2838690.68197632,7781.57802165579,5b7a3ece-59c8-4e06-8dc4-dc541b949e9e
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.65541,8306625.07172394,19783.9215002005,af4f3181-8231-4abe-a304-bfac20533471
32,E05000057,Mill Hill, ,523111,192066,-0.22331,51.61397,9389243.63941193,14778.2583793767,04a5a5fd-6694-40ac-81dc-e4b50b9c2561
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.63719,3318593.80805969,11713.9037168133,35768754-8fab-453f-8467-e16a07a21423
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.62659,8774455.98777008,17435.7533775534,dc0b4f86-2b04-4b8f-82f7-1e1810188967
35,E05000060,Underhill, ,523991,195493,-0.20939,51.64457,4550549.54377747,16319.7839245488,5bf669a6-930a-4c3e-8a5a-5236c6afd540
36,E05000061,West Finchley, ,525518,191440,-0.18879,51.60781,2163447.087677,7848.15682661293,38a21e8f-86dc-4bb2-8e00-9716605323dc
37,E05000062,West Hendon, ,522394,188065,-0.23505,51.57817,3428658.06207275,10262.7287105823,e011d009-6251-4e1b-963e-1afcfebe5414
38,E05000063,Woodhouse, ,526776,191859,-0.17048,51.6113,2621155.26992035,8890.5219567909,f61a84ea-65d6-41cd-bad4-08f34276fb90
39,E05000085,Alperton, ,518344,183853,-0.29489,51.54117,2058551.72125244,8981.87024370769,64309230-2145-4ad7-b1a3-99b19b879adb
40,E05000086,Barnhill, ,519301,187233,-0.27995,51.57135,2979038.55584717,10081.2836377682,305e1c3b-d336-448b-b45a-29c637cc0b1f
41,E05000087,Brondesbury Park, ,523503,184107,-0.22045,51.54235,1729425.52209473,6877.41219637543,6f6aa50f-aac8-49c4-91a4-83bebe0a7fb9
42,E05000088,Dollis Hill, ,522313,186513,-0.23676,51.56424,2299550.92366028,7281.38763389811,1f4cad0f-73ce-4517-8a5b-13bbc5396543
43,E05000089,Dudden Hill, ,522083,185505,-0.24043,51.55523,1681853.94017029,9704.21438672272,20d86ac9-032b-48e1-9d21-343bc362327b
44,E05000090,Fryent, ,520182,188419,-0.26684,51.58182,2659395.62783813,9254.86277780435,fe559cba-0505-45e7-9552-267ba417b564
45,E05000091,Harlesden, ,521490,183879,-0.24954,51.54074,1113706.09742737,5242.74648543869,8e0b3eb0-cd9f-40a9-a271-a8a19141fd34
46,E05000092,Kensal Green, ,522352,183277,-0.23732,51.53515,1120045.94896698,5676.73061027514,39df38f4-8bff-4efb-b9cb-115cc2c6f8c9
47,E05000093,Kenton, ,517617,188189,-0.30392,51.5803,2243130.70793152,7666.35023106562,bbb36155-f9b4-45ec-b9e0-63dbbfa230fc
48,E05000094,Kilburn, ,524960,183799,-0.19956,51.53927,943993.975517273,5241.85279038764,d8f9fcda-faea-4326-8da1-43d329b23fde
49,E05000095,Mapesbury, ,523466,185443,-0.22051,51.55437,1393470.56890106,5797.36210243594,cd3c25e9-16b9-4667-9b84-154cbca9fab3
50,E05000096,Northwick Park, ,516715,187252,-0.31724,51.57206,2679936.38130951,8748.18590378741,d9bff938-4c2c-43f1-a001-967aa087be61
51,E05000097,Preston, ,518207,186413,-0.296,51.56421,2388246.80173492,7412.10217382878,668b9b12-1876-4602-994c-f9ffe4a0ae32
52,E05000098,Queens Park, ,524047,183333,-0.21288,51.53528,1485622.17030334,6501.01046623094,8622d29b-00db-41eb-92f5-411d296e9b6f
53,E05000099,Queensbury, ,519681,189604,-0.27366,51.59258,2051246.08931732,6820.63252179887,4d6ab811-dec3-4d52-868f-07e60f60f3fc
54,E05000100,Stonebridge, ,520083,183661,-0.26989,51.53908,4050631.77224731,11142.7719500124,494fd56e-f639-4aa1-af81-ff4928793d08
55,E05000101,Sudbury, ,516871,185370,-0.31562,51.55512,2124781.03661346,8701.53775882271,89cdecbe-b310-4ed6-8f73-d4ba5a875266
56,E05000102,Tokyngton, ,519356,185188,-0.27985,51.55296,2759200.3445282,7748.04404469753,bf775952-41ca-49d5-9d0f-ec1529c8eb4f
57,E05000103,Welsh Harp, ,520882,186662,-0.25734,51.56588,2318941.73149109,9406.81983665256,b8461239-6b50-4489-bf9a-b58e2733a768
58,E05000104,Wembley Central, ,518205,184839,-0.29656,51.55007,1604220.84738159,7604.38123496701,54900d95-3316-4eff-93ae-4f28620f43e9
59,E05000105,Willesden Green, ,522219,184330,-0.23887,51.54464,1547656.64891815,7594.65514207256,e039b0e6-7741-4485-8645-49bc827fb623
60,E05000106,Bickley, ,542443,169027,0.046418,51.40239,4869085.70980072,10628.4272145809,2962c5c7-8b5d-4da9-a44d-0481f98443ce
61,E05000107,Biggin Hill, ,541094,159119,0.023113,51.31369,8280371.12807465,16486.3418024174,e8235572-7d65-4d8c-8d53-76e62709607a
62,E05000108,Bromley Common and Keston, ,542215,165398,0.041692,51.36984,8308216.68435669,19019.1345922613,60475801-02bb-4c3c-9d17-af66fca1375c
63,E05000109,Bromley Town, ,540273,169266,0.015337,51.40508,3716584.82129669,13694.9568561338,42bed234-0630-45b7-ad9b-a695de39a61f
64,E05000110,Chelsfield and Pratts Bottom, ,547216,162725,0.112379,51.34455,12563167.9194946,23228.0569898823,92fde036-28dc-400c-94b5-3bb4ea544f7b
65,E05000111,Chislehurst, ,544442,170313,0.075659,51.41344,10441493.2265015,17042.8372689109,f345fdd1-06e6-47be-94bc-42e6ef4848df
66,E05000112,Clock House, ,536163,169328,-0.04369,51.40663,2266433.27585602,9142.48570764424,d826e86a-8963-419b-8ea1-5f149ba8c768
67,E05000113,Copers Cope, ,537815,170017,-0.01968,51.41243,3286947.46092987,11528.1118136613,d941428c-28f8-4683-97e1-0f1f29bbfb04
68,E05000114,Cray Valley East, ,548054,168282,0.126714,51.39426,13278630.2153015,20252.8642047704,f7cec2b0-55b2-4dfd-b6e5-fd17621ba6f7
69,E05000115,Cray Valley West, ,546389,168891,0.10305,51.40016,3938482.19419861,12519.3966433336,c1965374-ec6a-4873-b058-1ffae666fbff
70,E05000116,Crystal Palace, ,534382,170280,-0.06892,51.41561,2291141.90184784,7810.08693192301,908c7ef8-5d73-43c6-847c-f3a2c63e16e9
71,E05000117,Darwin, ,542742,160113,0.047142,51.32221,29039640.7531128,31554.9098621118,49a63bfb-ee59-4252-900e-a374ae815636
72,E05000118,Farnborough and Crofton, ,544022,164853,0.067413,51.36449,7005823.41000366,14400.7288124367,804d6b4f-01d4-48fd-9b15-3d0665a7f862
73,E05000119,Hayes and Coney Hall, ,539858,165582,0.007927,51.37208,10823008.9608765,16853.0119463364,77f2f836-8af7-4370-9447-61901c4e86bb
74,E05000120,Kelsey and Eden Park, ,537051,167654,-0.03157,51.39138,5198958.30788422,13400.8088888927,bfdc952f-91a9-46f6-b29a-05ac01997789
75,E05000121,Mottingham and Chislehurst North, ,542017,172311,0.041613,51.43201,2441836.93431091,8823.93497638452,ca4ce31f-d28d-416f-940c-8709e11f8cf3
76,E05000122,Orpington, ,546890,165750,0.108949,51.37181,4256202.50312042,9966.12160855641,1043c21a-772f-4fe1-bb60-459335a953a3
77,E05000123,Penge and Cator, ,535785,170333,-0.04873,51.41576,2959726.28716278,8669.93422943508,7472fe37-2f17-44b0-bbf7-876266972000
78,E05000124,Petts Wood and Knoll, ,544582,167490,0.076522,51.38804,4301059.04457092,13080.1869007941,2ca8efb6-fb43-4dbd-aa96-8a70c8fc4fd7
79,E05000125,Plaistow and Sundridge, ,540853,170677,0.024231,51.41761,4000908.09909058,9896.51963094894,e614ddb1-a6a4-4154-b018-34761a84c48e
80,E05000126,Shortlands, ,539010,168318,-0.00318,51.39687,2456677.44882202,8770.17284578745,23cd8a49-83d5-4fee-9d2d-3f8b6ee7ff69
81,E05000127,West Wickham, ,538494,166071,-0.01146,51.3768,4410463.12669373,10320.8723734137,e8aa681d-cedf-465e-aff2-2342511daeed
82,E05000128,Belsize, ,527236,184686,-0.16643,51.54673,780566.426086426,3857.52562128696,d8d58df3-6ce2-431a-bb3b-e445e383d360
83,E05000129,Bloomsbury, ,529655,181984,-0.13256,51.5219,1020926.60198975,4853.3676166358,7feaf2a0-f787-4e86-8679-d60ff6cf9355
84,E05000130,Camden Town with Primrose Hill, ,528438,184062,-0.14934,51.54085,1166149.97896576,5550.6086120555,d0388f2a-a7b8-4441-98a3-f1ee29c9036d
85,E05000131,Cantelowes, ,529498,184536,-0.13389,51.54487,759309.839836121,4253.1310148638,40199ee1-28dc-4c90-8e35-84bbbd541bf9
86,E05000132,Fortune Green, ,524882,185333,-0.20014,51.55307,1006507.46046448,5405.26768385566,9c1afe4b-a245-45b9-b5d5-bb4603bdc786
87,E05000133,Frognal and Fitzjohns, ,526006,185705,-0.1838,51.55616,1530217.01189423,6168.7499856996,5663b625-c9dd-4c67-a170-62cdc214fd28
88,E05000134,Gospel Oak, ,528008,185341,-0.15507,51.55244,692303.957855225,4414.9224491901,46afaf9a-ea88-426f-aa07-b577e438f43b
89,E05000135,Hampstead Town, ,526645,186181,-0.17442,51.5603,2449387.91490173,8373.64060445505,02cddc43-c5ec-4393-a9b0-a5a4bed43f1e
90,E05000136,Haverstock, ,528188,184717,-0.1527,51.54679,731760.69090271,4136.16837878529,bf722f48-e140-489d-ab27-77ad1fa68a75
91,E05000137,Highgate, ,528093,186523,-0.15341,51.56304,3239256.97376251,7716.38668920725,2073cbd9-190e-4838-b8fd-3dd2c38dff89
92,E05000138,Holborn and Covent Garden, ,530905,181692,-0.11466,51.51898,1194918.42889404,5999.14238317885,b00930f0-a35f-445c-a733-8a8da92a99c9
93,E05000139,Kentish Town, ,529104,185286,-0.13929,51.5517,1028981.93210602,4988.00259451146,f0e3c344-9a2e-433c-8063-9a1c7c5b0ca1
94,E05000140,Kilburn, ,525799,183940,-0.18741,51.54035,685155.287666321,5060.70342455799,a77d39c8-7aea-4a93-9746-5a9d214b0c7e
95,E05000141,King's Cross, ,530349,182567,-0.12235,51.52698,611353.460540771,3459.45646939181,fc7468a2-c995-4e57-a59b-b79b1977d8f3
96,E05000142,Regent's Park, ,528987,182932,-0.14184,51.53057,1349553.75550079,5813.1861628526,0b0ea0cb-a5af-4dd2-bc1c-367980a66cf8
97,E05000143,St Pancras and Somers Town, ,529714,183428,-0.13118,51.53486,1398922.23247528,5458.31658772902,9194dc65-4b05-4781-aa53-2627b81c9998
98,E05000144,Swiss Cottage, ,526951,184105,-0.17075,51.54157,1256732.18251038,6964.99702705757,b51984f6-e45c-44ec-a20d-0e6a0b4d6119
99,E05000145,West Hampstead, ,525653,184819,-0.1892,51.54828,887295.746528625,5285.52109619446,44e30ea1-4d54-4854-b1ad-85602c1a7281
100,E05000170,Acton Central, ,519997,181039,-0.27202,51.51554,1774621.18689728,7593.34254860031,47839e36-47ba-47cb-9319-9dfcd691d249
101,E05000171,Cleveland, ,516520,182148,-0.32174,51.52623,2228551.88652039,9263.58898117158,1cbea6bf-7717-4f20-8a6a-b31cdd4f3198
102,E05000172,Dormers Wells, ,513742,181092,-0.36211,51.5173,2257267.20704651,8389.64810336507,bacc11b7-31ad-48cd-a4dc-91fbe1a5eac3
103,E05000173,Ealing Broadway, ,517288,181128,-0.31102,51.5169,1856765.94567871,6749.58230236544,c27f60b8-2b11-44dd-b312-decfe19da7ac
104,E05000174,Ealing Common, ,518521,180272,-0.29354,51.50895,2141051.51612854,6868.09919381379,b433def3-1a3a-4c85-945e-54e7970ceee0
105,E05000175,East Acton, ,520511,182112,-0.26425,51.52507,4275907.37034607,13413.1646658926,c2cd65e8-444b-4dbf-bbe9-8e7a6ddb0e15
106,E05000176,Elthorne, ,515828,179675,-0.33253,51.50415,1999654.1856842,7509.57794030316,3c3b3aa5-178b-40a1-b8fb-445c34e076e7
107,E05000177,Greenford Broadway, ,513416,182660,-0.3663,51.53146,2516686.98036957,11074.3465308006,e05b03d5-c024-447d-8f36-9c1c00e9644e
108,E05000178,Greenford Green, ,514686,183987,-0.34757,51.54313,3384774.13092041,11806.631233088,b5d059bc-e22f-4662-8095-910284bd93e1
109,E05000179,Hanger Hill, ,518434,182120,-0.29417,51.52558,3277212.46166992,10745.0378316099,e2df6767-6b13-4646-9910-ac0d7ca3cf9f
110,E05000180,Hobbayne, ,515236,181403,-0.34049,51.5198,2209361.30625153,6742.30233353327,d5fa9dee-7acd-49f4-9fbf-844ada1b52c2
111,E05000181,Lady Margaret, ,513205,181637,-0.36967,51.52231,1541811.57704926,6887.85305787953,aba1feed-134f-4b55-9c4f-0e454218d6b3
112,E05000182,Northfield, ,516945,179087,-0.31663,51.49863,1540106.25004578,7458.64247851797,7dc37c44-6263-4780-928d-a301f93e13f1
113,E05000183,North Greenford, ,516073,184839,-0.3273,51.55051,3257410.45093536,10430.0489108188,d35acb55-a068-4175-956f-1c0cf1b7d1f4
114,E05000184,Northolt Mandeville, ,512751,184565,-0.37528,51.54872,2756668.17634583,8315.77586226292,8bf01fa6-a0f6-4228-9f3a-049388a62126
115,E05000185,Northolt West End, ,511303,183433,-0.39651,51.53883,3545385.67021942,9917.98660050617,22c12d22-f84b-4fcf-bedf-db785a5f4299
116,E05000186,Norwood Green, ,513779,179256,-0.36217,51.5008,3796155.7579422,10650.9701686308,5ad5ab2d-1289-44ec-a7a5-dd7e2d601769
117,E05000187,Perivale, ,516484,183227,-0.3219,51.53593,3367721.47922516,11529.1516004917,4c916ce9-903f-4cd3-aa0f-cf6bd87259fd
118,E05000188,South Acton, ,519732,179922,-0.27622,51.50555,1719217.47103882,6550.19556914752,b572ef9c-1ea8-42f6-9f15-f56846321d71
119,E05000189,Southall Broadway, ,512575,180254,-0.37919,51.51001,1617193.7469101,7250.02150850282,9e605aa0-00ac-462a-b7e9-6c89e697a553
120,E05000190,Southall Green, ,511761,179168,-0.39126,51.50041,1586170.92254639,5962.14120999119,5153c7ee-a5f3-47d2-866a-22bc2f5acef3
121,E05000191,Southfield, ,520691,179377,-0.26259,51.50045,1428683.29563904,5416.10642815459,6b20c435-3797-4672-840b-ebedabf54822
122,E05000192,Walpole, ,516957,179928,-0.31618,51.50619,1465968.2424469,5413.17810410326,280104d9-b0c7-4d78-b365-1d3795fa773c
123,E05000193,Bowes, ,531483,192089,-0.10245,51.61228,1483361.23429108,9299.4473143789,361533e1-53be-4fef-8348-81fabe67063b
124,E05000194,Bush Hill Park, ,532941,194687,-0.08042,51.63529,2524493.64635468,9538.82971103127,b37a15eb-ed67-40aa-9334-d97091401443
125,E05000195,Chase, ,531422,199207,-0.10066,51.67626,16935421.6360931,23736.6677510211,a2ae6956-8a24-4988-a84f-5cb75f5029ff
126,E05000196,Cockfosters, ,527997,197445,-0.15081,51.66122,10412779.6831818,19914.7522819859,1d242a81-3046-4986-9ec9-effdd23041cc
127,E05000197,Edmonton Green, ,535043,192950,-0.05074,51.61918,3126443.25180817,9900.48306088428,2f020006-266a-4d1b-a9e4-013bd3077394
128,E05000198,Enfield Highway, ,536383,197335,-0.02969,51.65826,4636589.52603149,10053.8225400694,8f0f0051-091b-46e0-ad75-2e600235e4ac
129,E05000199,Enfield Lock, ,536635,198893,-0.02544,51.6722,3252249.26779938,8336.78362735495,7f542227-e699-48f9-a7c7-fd060aa4f936
130,E05000200,Grange, ,532157,195682,-0.09137,51.64441,3285152.06108856,9203.96477452516,29eb6909-2daf-4ecc-9670-86cfd677eef8
131,E05000201,Haselbury, ,533440,193357,-0.07372,51.62322,1796006.38121796,7059.37567103693,4967d686-2001-4c15-af80-b61c68c802fe
132,E05000202,Highlands, ,530904,197284,-0.10887,51.6591,5088028.22586823,11847.3358110407,9605a5df-4a20-4483-b187-5a11b7519b07
133,E05000203,Jubilee, ,535608,194766,-0.04188,51.63536,3928316.73613739,11275.0191701868,e7ca17ee-ef91-4024-82d2-c979bfda3707
134,E05000204,Lower Edmonton, ,535464,193776,-0.04434,51.6265,2182478.83418274,8720.12747279063,add7844e-cf29-4752-aa5d-e07f54c08e36
135,E05000205,Palmers Green, ,531835,192895,-0.09707,51.61944,1942130.62865448,6837.73926442447,5394e4ff-8758-4868-b76a-c30a4fe20f00
136,E05000206,Ponders End, ,536187,195789,-0.03312,51.64441,3542951.7796402,9391.99839884119,e2470b17-d2e8-4d90-b356-fd2d371047b1
137,E05000207,Southbury, ,534114,196542,-0.06277,51.65168,2867063.64638519,8880.46678208872,f9ab2938-28e4-4235-92ee-627ded559dfd
138,E05000208,Southgate, ,529928,194448,-0.12402,51.63384,2687232.70936584,9428.97519650409,7abe7bc1-516b-40ef-b86e-7a6ed1ca736b
139,E05000209,Southgate Green, ,529878,192851,-0.12534,51.6195,2613528.54912567,8252.80975963552,9187c2d9-6bad-43a7-9ec6-f5556849c48b
140,E05000210,Town, ,532992,197449,-0.07864,51.6601,2231375.99848175,7284.4554416747,8007849b-3c4b-461d-867e-c2313e793303
141,E05000211,Turkey Street, ,535274,198954,-0.04508,51.67308,2261502.31174469,6897.05500026285,aea35f7c-368d-4964-87b3-d567a4c977b8
142,E05000212,Upper Edmonton, ,534193,192015,-0.06337,51.61098,2642407.27783966,10144.5464514552,1303a0dd-f6d5-4103-9737-045e7e8f7a28
143,E05000213,Winchmore Hill, ,531301,193979,-0.10437,51.62931,2760676.16370392,9125.71546275925,cd3d3845-b192-4be7-ba7c-8384cc379c5b
144,E05000214,Abbey Wood, ,546816,178669,0.113238,51.48791,2657217.05908966,7875.34231339166,49e03494-1150-4964-a43f-4178cbe63587
145,E05000215,Blackheath Westcombe, ,540049,177455,0.015356,51.47872,2138138.3147583,8710.42850427894,c8b02deb-9edf-4ed3-8e6a-5ea134c9f599
146,E05000216,Charlton, ,541457,177891,0.035792,51.48229,2031217.48860931,7602.31453280633,291ad99e-54e5-4a6a-984e-eae21a628643
147,E05000217,Coldharbour and New Eltham, ,543436,172428,0.062059,51.4327,2549310.3253479,7458.40070385614,be3408f9-bfbe-4e04-b450-ee52b8610d0e
148,E05000218,Eltham North, ,543431,175383,0.063184,51.45925,2555152.39085388,8722.2797789763,14e236c6-34bf-431e-8379-72724b999474
149,E05000219,Eltham South, ,543742,174021,0.067105,51.44694,4626428.20674133,10888.8661193453,a82529c8-f5cf-416e-a083-f784b594bc52
150,E05000220,Eltham West, ,541497,175377,0.035362,51.45969,2425643.5718689,7865.70912549913,ac511c19-3e8d-4b92-a90f-9403eb7b314a
151,E05000221,Glyndon, ,544655,178804,0.08219,51.48968,1701960.31678009,7585.42016629236,7ce60658-f7af-415f-9efc-7422657a3224
152,E05000222,Greenwich West, ,538593,177143,-0.00571,51.47627,2792374.8991394,9584.06219384285,e59f3e5c-2dd1-4718-bb2b-68a166cd0657
153,E05000223,Kidbrooke with Hornfair, ,541854,176630,0.041,51.47086,2374534.15989685,7499.03579618269,92ce3624-1fc0-45c7-a987-a20c2587de89
154,E05000224,Middle Park and Sutcliffe, ,541117,173988,0.029343,51.4473,3291448.78137207,11982.0640759167,7b1fed21-ec7a-471a-b1ef-3afd7ab55019
155,E05000225,Peninsula, ,540032,179034,0.015737,51.49291,4491921.11261749,9700.12784137892,078286a2-4089-4a2b-913f-b582f57f26df
156,E05000226,Plumstead, ,545924,178299,0.100247,51.48482,2341905.06598663,9047.00521539738,0426eb2e-3dc4-41ee-977b-c100cdc77d91
157,E05000227,Shooters Hill, ,544200,176748,0.074802,51.47132,3770696.35290527,9599.14528968734,272bdc0d-c484-4f71-bc8a-7ed55a6c8eb6
158,E05000228,Thamesmead Moorings, ,545999,180063,0.102056,51.50065,4812539.44560242,9317.26990292419,6c2ddb5b-579e-4e5c-9196-0ee0f9540565
159,E05000229,Woolwich Common, ,543528,177730,0.065532,51.48032,2620376.75052643,8323.43825280108,1f7db276-28b5-4190-9042-9ddb2e7419b0
160,E05000230,Woolwich Riverside, ,542295,178807,0.048222,51.49031,3261077.07920074,9385.38899597985,6bd9d785-088f-4c4f-b8f0-86bff6794830
161,E05000250,Addison, ,523640,179464,-0.2201,51.5006,554823.020347595,4062.9722309841,1ef49d6c-da84-4233-a2c5-a9a7da953802
162,E05000251,Askew, ,522018,179714,-0.24337,51.5032,762494.866157532,5011.63801612175,ce2dc515-801c-436b-99e7-eecaa5cb0681
163,E05000252,Avonmore and Brook Green, ,524042,178845,-0.21453,51.49495,896603.303741455,5461.91704414768,d1bc3f88-f553-47ff-9f62-585e5e5910c8
164,E05000253,College Park and Old Oak, ,522459,181963,-0.23624,51.52331,3436569.07442474,9016.05837759219,5d067c4e-3569-4846-b714-ce5d9da114e9
165,E05000254,Fulham Broadway, ,525088,177577,-0.19992,51.48332,667962.541770935,3717.06365595308,ba63918f-7b53-4c6c-82b0-e01dd1171e07
166,E05000255,Fulham Reach, ,523773,177856,-0.21875,51.48612,881990.148208618,4872.57015950648,d3c55a3f-1ba8-48cb-88fb-f7ea5e6d683a
167,E05000256,Hammersmith Broadway, ,523240,178633,-0.22615,51.49322,1103045.15634155,5648.67411572039,6e4b6e89-5448-4630-bd0f-218244d7a0a6
168,E05000257,Munster, ,524335,176914,-0.21099,51.47753,624271.27205658,3852.62686627973,7d8347c7-3e4d-40ec-8b7b-032976b576a6
169,E05000258,North End, ,524704,178057,-0.20528,51.48772,635162.751747131,3578.41544069761,aabfc625-ae36-4120-9706-9b48f89ac0bc
170,E05000259,Palace Riverside, ,523892,176498,-0.21751,51.47388,1480800.10404205,6975.51385285522,49543610-6a18-44d7-b030-a79c51e02a71
171,E05000260,Parsons Green and Walham, ,525321,176534,-0.19693,51.47389,895840.981681824,5920.82914356821,dcec54e4-7d02-4313-83aa-23adb64f007b
172,E05000261,Ravenscourt Park, ,522145,178872,-0.24183,51.4956,1215311.54866028,6403.38904999873,5fbe3d2b-9db5-4d55-a510-1e6c43610748
173,E05000262,Sands End, ,525803,176112,-0.19015,51.46999,1378091.22574615,6236.55092287823,4426b4f0-fd58-42c5-bfcf-56d10207f358
174,E05000263,Shepherd's Bush Green, ,523240,180112,-0.22563,51.50651,1068169.16575623,5421.06514591791,6cbd0362-64bc-41db-8143-04198da54097
175,E05000264,Town, ,524862,176732,-0.20347,51.47577,651313.540420532,3997.47194965249,33975a6f-ff06-46c3-8c71-ca45337e442f
176,E05000265,Wormholt and White City, ,522339,180556,-0.23845,51.51069,901620.82623291,4240.79980178594,d843c8e7-97ce-46d6-9e20-e3503aab7f62
177,E05000266,Alexandra, ,529523,190387,-0.13137,51.59744,2613894.36138153,7989.29130264937,96b383d6-c33f-4de7-aef9-7eb01b9543f0
178,E05000267,Bounds Green, ,530243,191163,-0.12069,51.60425,1386202.38027191,6037.04798106276,5a6330e3-3262-4fcd-8a79-6f1681068bcb
179,E05000268,Bruce Grove, ,533305,190094,-0.07691,51.59393,936577.77318573,4605.45865619807,ac4f824f-c5d4-448e-8c84-2100359a91b2
180,E05000269,Crouch End, ,529666,188263,-0.13009,51.57832,1440391.563797,6483.85572470263,6c6f2ec1-82be-448e-8e68-13516004234a
181,E05000270,Fortis Green, ,528059,189699,-0.15275,51.59159,1990719.99458313,10075.5902623592,e853e8e0-bfc1-4a4b-bb7c-66ba1d77dd64
182,E05000271,Harringay, ,531449,188211,-0.1044,51.57744,1566077.9444046,7027.72129390996,db5643f9-918a-4dd5-bfdd-d0f62d3a9171
183,E05000272,Highgate, ,528141,188258,-0.15209,51.57863,2494853.70628357,9762.11645723856,25c4c61e-1496-4e65-9506-9f10558735fc
184,E05000273,Hornsey, ,530433,189213,-0.11868,51.58668,1053925.40825653,5340.46089086003,7547faba-4129-4693-9571-355f8adae211
