OBJECTID,WD19CD,WD19NM,WD19NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
5036,E05010761,Higham Ferrers Chichele, ,495431,268666,-0.60169,52.30784,1176137.12493134,5747.94633483362,61dd722a-4f1a-4601-83ba-c3fa4101556b
5037,E05010762,Higham Ferrers Lancaster, ,498323,268142,-0.55944,52.30262,19330420.170845,26325.3569501549,9c89270c-aa13-4e60-a50a-a6b283a65ff7
5038,E05010763,Irthlingborough John Pyel, ,494014,269814,-0.62214,52.3184,5359492.92861938,11265.9580420715,668951b9-5594-44a3-92f0-c42f70fddcee
5039,E05010764,Irthlingborough Waterloo, ,495316,271323,-0.60262,52.33174,6686530.08361816,14736.9738274942,f6fb5743-358a-4323-aa66-ad4bf755fd5b
5040,E05010765,Raunds Saxon, ,501254,273052,-0.51499,52.34621,14678061.1281815,19626.3838793015,685ba006-4540-46da-adc8-4dcfda16dfcd
5041,E05010766,Raunds Windmill, ,498899,273087,-0.54954,52.34696,3959849.33235168,12236.5989674956,cb98d573-8797-4dd8-bf70-3bfdd96e0d62
5042,E05010767,Rushden Bates, ,497496,264650,-0.57257,52.27138,4611997.16996002,13798.8430494143,acc1ad19-4e7b-490d-beed-f41b072ed905
5043,E05010768,Rushden Hayden, ,497373,266512,-0.57384,52.28814,4424600.99687195,11450.9197935317,74d9b9dc-f840-412d-a0ec-a55ebc6b56e5
5044,E05010769,Rushden Pemberton, ,494878,266210,-0.61049,52.28586,1135722.6940155,5510.76370385191,58863c0d-28f0-4d18-bb4c-1cce4de17e7a
5045,E05010770,Rushden Sartoris, ,495836,265742,-0.59658,52.28149,1102391.6647644,6562.80630708156,f9de2895-9899-4c34-ba11-4403cdf73055
5046,E05010771,Stanwick, ,498306,271121,-0.55882,52.32939,13780292.6836929,26246.7046783022,8fff20b7-9e30-4d0a-84f2-74db6fbcd6ce
5047,E05010772,Thrapston Lakes, ,498761,278951,-0.54984,52.39968,9140995.11997986,20000.2553698506,daf9fd28-b6f5-4bce-8e31-dec8dd119407
5048,E05010773,Thrapston Market, ,500154,275878,-0.53029,52.37181,16818489.7669907,23892.189990445,690dc608-570d-41e2-b857-d2a58511aa1e
5049,E05010774,Aire Valley with Lothersdale, ,399701,447023,-2.00604,53.91936,30828140.4683075,38783.2249963711,131962ef-d9b0-40f1-ad82-197196c3fcf8
5050,E05010775,Barden Fell, ,401470,459888,-1.97905,54.03498,160634338.968826,107377.209198825,661ccf0f-694b-4cb4-8214-5e91ae41c660
5051,E05010776,Cowling, ,396582,442598,-2.05348,53.87958,18994828.7931671,21864.0298987508,4e9b84ef-1623-4bd5-a730-4f8707cad10a
5052,E05010777,Grassington, ,401683,465268,-1.97577,54.08334,47205811.8715973,44925.775483867,8ef50063-bcd9-4738-b987-023ee37a7ff5
5053,E05010778,Hellifield and Long Preston, ,384713,458335,-2.23481,54.0208,34515035.107666,35379.4921124865,4e760934-8049-4f4e-9e44-1843d0fe23fa
5054,E05010779,Penyghent, ,380232,475799,-2.30435,54.1776,102426417.353531,73303.6510837077,bd13e27d-7e49-4ed6-9d8a-1f66f7bff1ab
5055,E05010780,Settle and Ribblebanks, ,379429,460528,-2.31561,54.04032,73938411.3579865,63934.8998792347,6928551f-e1f8-49c7-b0e5-3bf94b65579c
5056,E05010781,Chadlington and Churchill, ,432984,220820,-1.52216,51.88497,67569649.9248047,69549.9914707575,ac034912-ffb1-4e66-9e3f-0ceb8bc44917
5057,E05010782,Charlbury and Finstock, ,436241,218475,-1.47509,51.86369,19830083.6248932,23488.1572211137,123d3a33-febd-468f-ad14-401cc1c5238c
5058,E05010783,"Hailey, Minster Lovell and Leafield", ,434925,213280,-1.49472,51.81706,38011683.2572784,43126.1637285974,cf505d40-2e00-4729-9998-66eefafbd3f9
5059,E05010784,Abbey, ,499425,371931,-0.51183,53.23513,4084205.22380066,10078.2619857761,45368030-661a-4f21-a231-04d43efbe59d
5060,E05010785,Birchwood, ,493162,369739,-0.60627,53.21657,2417003.39134216,8143.87820568484,3e798282-a4a0-4879-a36b-b63a34bfd313
5061,E05010786,Boultham, ,495837,370296,-0.56606,53.2211,6191923.01554871,12138.2456756782,57cf769b-e2f1-4134-819d-a1fd7938fc38
5062,E05010787,Carholme, ,495893,372446,-0.56458,53.24041,4809222.2545929,10476.523281828,2f3e0c4f-f851-4dc4-be95-21ed72144ea9
5063,E05010788,Castle, ,497098,373250,-0.54628,53.24741,1565105.36253357,6255.17976144179,836e6b07-1ebe-4219-9a66-60285beefa6f
5064,E05010789,Glebe, ,499546,373142,-0.50964,53.24599,1773099.74487305,6442.6655755447,3507e957-d9d2-42c7-9d03-3fe0366e3a3c
5065,E05010790,Hartsholme, ,494395,369237,-0.58796,53.21184,3619338.14419556,9773.90099514325,9a47b2f5-2e46-40d8-8264-75dfdd7380e2
5066,E05010791,Minster, ,498409,373412,-0.52659,53.24863,2278282.45124817,7976.47011413118,7b6d2370-1f61-4b5c-9074-734f772db030
5067,E05010792,Moorland, ,495689,368375,-0.56885,53.20386,2186104.11842346,7368.31211414998,ece6a543-368b-4426-bdc4-7b86d835d59f
5068,E05010793,Park, ,497621,369651,-0.53955,53.21498,4396050.20896912,12605.2147130325,47123fed-9188-4641-a096-05e87dcb06ba
5069,E05010794,Witham, ,496104,367324,-0.56295,53.19434,2369938.66264343,6201.65266898613,d1026b9b-9ed1-4085-9175-eb8d2c56a193
5070,E05010795,Byfleet and West Byfleet, ,505274,161012,-0.49007,51.33845,5012811.96565247,13871.8990888759,e464e783-a169-4973-bddf-c993cedfdee5
5071,E05010796,Canalside, ,501986,159784,-0.5376,51.32801,2527748.28725433,13111.0989544066,43d68ccb-99f3-4c11-bb8f-f629d4e68aad
5072,E05010797,Goldsworth Park, ,498205,158902,-0.5921,51.32075,1743814.10585022,6372.88812300534,17bf2f91-98d4-4fbb-9566-7bb9d7924be4
5073,E05010798,Heathlands, ,498655,155483,-0.58658,51.28994,20387500.1627045,30687.250441216,4a1ac2a0-b742-42c2-b820-41e11458222b
5074,E05010799,Hoe Valley, ,501421,156908,-0.54653,51.30226,4801532.82282257,16807.9462432838,d4c19790-fda1-4332-9afd-e210ae31ab56
5075,E05010800,Horsell, ,499574,160277,-0.57207,51.33287,10058196.1950531,21384.3771734469,86d115ce-b37b-428b-8f56-72d07a95577b
5076,E05010801,Knaphill, ,496770,159289,-0.61258,51.32448,4702123.63287354,13898.3352600332,df227b07-e304-493d-b3a4-fb018bc7a605
5077,E05010802,Mount Hermon, ,501768,158423,-0.54112,51.31582,3764226.16072845,12136.5540779191,b3f3d204-828e-4440-97ed-f4a5f70aeaf5
5078,E05010803,Pyrford, ,503816,159220,-0.51151,51.32261,8064527.97162628,16412.7385258883,8898524a-5b12-40bf-a11f-dd9368548ce8
5079,E05010804,St John's, ,498070,157930,-0.5943,51.31204,2541122.53536224,9230.79515442027,339bcca3-248b-465e-ac09-0e21e8930819
5080,E05010805,Barnack, ,508154,304392,-0.40358,52.62654,45136856.701004,41347.4639043318,1f20fde9-d099-49ba-a5ce-48c59d5ba7a4
5081,E05010806,Bretton, ,516432,301087,-0.2825,52.59513,3116408.28231812,11958.6181844728,42100d1e-b157-4e53-9137-1f94a1c0d1dc
5082,E05010807,Central, ,518642,298997,-0.25064,52.57587,3001491.74838257,9657.53816191326,d9b85670-4319-4744-a238-da9d4bb6bc9e
5083,E05010808,Dogsthorpe, ,520365,301377,-0.22436,52.59688,2180819.75822449,6639.75763265453,3674f7e4-6285-4bc7-bfd1-fbd00d6985c8
5084,E05010809,East, ,521717,299723,-0.20502,52.58172,9702215.33837891,14950.2760872835,1603b49c-5315-450f-9527-351bce3abd09
5085,E05010810,"Eye, Thorney and Newborough", ,525700,304327,-0.14452,52.62218,133673435.046463,59015.3700667911,46e4b4f6-a302-45dd-aa79-5463fcc20ae6
5086,E05010811,Fletton and Stanground, ,520892,297255,-0.21809,52.55972,5105465.13330078,14713.7372622033,aaa4549e-e6b6-4367-b862-f477c803af7f
5087,E05010812,Fletton and Woodston, ,517792,297625,-0.26366,52.56373,3203681.39897156,8588.70422650075,70c81fc2-547b-46f6-b37c-c02cbad3c238
5088,E05010813,Glinton and Castor, ,513988,304046,-0.31755,52.62224,53563807.6380005,51724.7341458257,216ae6af-51e8-4bf5-b0a5-6f73de14d97e
5089,E05010814,Gunthorpe, ,519202,303109,-0.2409,52.6127,3631977.87652588,12939.0347625606,2d4a7664-ea6e-435c-9c94-93e9dd7fd404
5090,E05010815,Hampton Vale, ,516307,293230,-0.2871,52.52455,8355246.10015869,14855.0389211833,8b81ea8a-4378-4f10-a7ee-a816e1184a01
5091,E05010816,Hargate and Hempsted, ,518213,295032,-0.25838,52.54034,7673836.12460327,18045.805586295,949d48e2-8944-40fd-abb5-d19df09d33b3
5092,E05010817,North, ,518657,301491,-0.24952,52.59828,2186693.49006653,8053.75485872769,b8750c73-b444-4461-a684-837fb40466a4
5093,E05010818,Orton Longueville, ,516566,296622,-0.28209,52.55498,4427514.66665649,14410.0350380352,81c93471-84ac-49e7-8df2-5f8dbb958713
5094,E05010819,Orton Waterville, ,514709,296173,-0.30962,52.55134,6878199.19998169,13707.5949085687,664e37e3-2503-41df-a565-d090f2901b47
5095,E05010820,Park, ,519505,300306,-0.23744,52.58745,2034454.52377319,6194.27622201798,26a7e37c-2639-4a1e-b348-355386ec2d05
5096,E05010821,Paston and Walton, ,518333,302104,-0.25409,52.60386,2446027.07804871,9377.7867499159,2a73d5cc-a416-4166-be73-e6e24cdc3f6c
