Hi Eli,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase Budget,54490,CP Free Nursing Care External,443500,17/08/2020,1900574105,16355.98,Belong Limited,117083,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase Budget,54490,Supplies & Services - Covid 19,499919,12/08/2020,1900573182,27792.0,Birch Care Ltd (for Cromwell Court),117615,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Other Commercial Prop.,43560,Service Charges,220050,19/08/2020,1900574861,1200.0,Birch Grove Day Nursery Ltd,101367,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Covid-19,61030,Covid-19 Small Business Grants (not NNDR),552599,18/08/2020,1900574571,10000.0,Brainwave,116211,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,05/08/2020,1900570858,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,05/08/2020,1900570868,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,05/08/2020,1900570880,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,05/08/2020,1900570877,666.23,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,05/08/2020,1900570870,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,05/08/2020,1900570894,667.1,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,05/08/2020,1900570893,597.1,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,05/08/2020,1900570859,529.2,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,05/08/2020,1900570891,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,05/08/2020,1900570871,721.42,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,05/08/2020,1900570897,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,07/08/2020,1900572111,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,07/08/2020,1900572164,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,07/08/2020,1900572226,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,07/08/2020,1900572214,764.93,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,07/08/2020,1900572172,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,07/08/2020,1900572292,667.1,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,07/08/2020,1900572290,607.5,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,07/08/2020,1900572275,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,07/08/2020,1900572173,712.92,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,07/08/2020,1900572309,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,12/08/2020,1900573104,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,12/08/2020,1900573129,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,12/08/2020,1900573123,666.23,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,12/08/2020,1900573109,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,12/08/2020,1900573167,667.1,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,12/08/2020,1900573165,597.1,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,12/08/2020,1900573158,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,12/08/2020,1900573110,655.34,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,12/08/2020,1900573174,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,26/08/2020,1900575904,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,26/08/2020,1900575951,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,26/08/2020,1900575943,666.23,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,26/08/2020,1900575910,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,26/08/2020,1900576004,667.1,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - Central,54050,CP-Domicil.External,440950,26/08/2020,1900576003,597.1,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,26/08/2020,1900575994,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,26/08/2020,1900576018,582.4,Brew and Clapp Services Ltd,116993,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - South,54070,CP-Domicil.External,440950,06/08/2020,1900571079,672.0,Bridgewater Home Care,113753,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,06/08/2020,1900571054,808.5,Bridgewater Home Care,113753,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - South,54070,CP-Domicil.External,440950,06/08/2020,1900571025,612.75,Bridgewater Home Care,113753,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - South,54070,CP-Domicil.External,440950,20/08/2020,1900575496,672.0,Bridgewater Home Care,113753,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,20/08/2020,1900575441,808.5,Bridgewater Home Care,113753,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - South,54070,CP-Domicil.External,440950,20/08/2020,1900575340,623.0,Bridgewater Home Care,113753,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - South,54070,CP-Domicil.External,440950,26/08/2020,1900576013,672.0,Bridgewater Home Care,113753,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,26/08/2020,1900575927,808.5,Bridgewater Home Care,113753,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - South,54070,CP-Domicil.External,440950,26/08/2020,1900575806,623.0,Bridgewater Home Care,113753,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Director Adult Social Care,54000,Supplies & Services - Covid 19,499919,07/08/2020,1900571141,2058.44,Bright Futures Care Ltd,114579,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Director Adult Social Care,54000,Supplies & Services - Covid 19,499919,07/08/2020,1900571149,6175.33,Bright Futures Care Ltd,114579,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Director Adult Social Care,54000,Supplies & Services - Covid 19,499919,07/08/2020,1900571118,4116.89,Bright Futures Care Ltd,114579,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Director Adult Social Care,54000,Supplies & Services - Covid 19,499919,07/08/2020,1900571180,1029.22,Bright Futures Care Ltd,114579,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Director Adult Social Care,54000,Supplies & Services - Covid 19,499919,07/08/2020,1900571182,2058.44,Bright Futures Care Ltd,114579,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Penketh Court,43631,Gas,210050,20/08/2020,1900575289,767.7,British Gas Business,104540,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,05/08/2020,1900570797,4032.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,05/08/2020,1900570795,4032.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,19/08/2020,1900574850,4032.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,18/08/2020,1900574581,4032.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,18/08/2020,1900574570,4032.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,20/07/2020,1900565967,4032.0,Brooks & Brooks Recruitment,116683,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,CIN Team 4,31014,Looked after children in Warrington,301000,25/08/2020,1900575710,4176.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,05/08/2020,1900570792,1128.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,19/08/2020,1900574598,1440.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,18/08/2020,1900574569,1440.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,20/07/2020,1900565972,1344.0,Brooks & Brooks Recruitment,116683,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,05/08/2020,1900570782,4032.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,05/08/2020,1900570790,864.0,Brooks & Brooks Recruitment,116689,2020,August
