Hi Eli,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,One - Off ICT Costs,23200,Computer Software - Maintenance,450850,03/08/2020,5100435795,1000.0,4net Technologies Ltd,116339,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,06/08/2020,5100436229,1034.8,Abba Cars,105302,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,19/08/2020,5100437354,647.4,Abba Cars,105302,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,19/08/2020,5100437355,907.4,Abba Cars,105302,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,19/08/2020,5100437356,883.05,Abba Cars,105302,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Minor Adaptations<£750,400700,03/08/2020,5100435799,2785.68,Acorn Building Projects Ltd,105557,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Land Drainage,44120,Consult.& Prof. Serv,440000,07/08/2020,5100436339,6522.0,Aecom Limited,101037,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,South Warington M'way Junction,40057,Consult.& Prof. Serv,440000,24/08/2020,5100436750,6500.0,Aecom Limited,101037,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Recreation & Games,41431,Materials,400500,05/08/2020,5100436138,2856.0,Agrovista Uk Ltd,101700,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,03/08/2020,5100435803,1100.0,Aidapt Bathrooms Ltd,100366,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,03/08/2020,5100435812,1200.0,Aidapt Bathrooms Ltd,100366,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Materials,400500,10/08/2020,5100436237,919.66,Air Products Plc,100173,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,06/08/2020,5100436232,1290.0,Alan Delooze Premier Travel,100727,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Financial Protection Team,56130,Consult.& Prof. Serv,440000,14/07/2020,5100434267,794.13,Allied Publicity Services (Man) LTD,117019,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Inter Authority Recoupment,32009,Fees (Including Agents Fees),441450,14/07/2020,5100434261,1663.9,Alt Bridge Secondary Support Centre,116942,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,03/08/2020,5100435818,2460.0,AMW Lift & Mobility Services Ltd,112766,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,04/08/2020,5100435937,4422.0,Andys Bus Company,100654,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Transport - Adult Social Care,54950,Transport-Snad Cot,300600,04/08/2020,5100435938,744.0,Andys Bus Company,100654,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,04/08/2020,5100435939,2015.0,Andys Bus Company,100654,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,PW&F Management Operations,41427,Kennel Fees,440550,03/08/2020,5100435820,520.3,Animal Wardens Ltd,103042,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435557,4300.8,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435558,1680.0,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435559,1680.0,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435560,13919.36,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435561,8545.6,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435563,974.4,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435564,9731.68,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435566,13154.4,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435567,11054.4,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435568,19040.0,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,29/07/2020,5100435569,2340.81,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,04/08/2020,5100436047,44788.8,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,04/08/2020,5100436048,280000.0,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,04/08/2020,5100436060,150214.4,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,04/08/2020,5100436061,99137.95,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,HOL,Insurance Fund,91100,Insurance Premium,443350,07/08/2020,5100436322,64768.87,Aon Ltd,102117,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase Budget,54490,Rent Of Premises,220000,25/08/2020,5100437796,661.28,Arena Housing,102199,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase Budget,54490,Rent Of Premises,220000,25/08/2020,5100437797,661.28,Arena Housing,102199,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Supporting People Contracts,53260,Young People and/or Care Leavers,535150,31/07/2020,5100435697,17159.12,Arena Options,101746,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Supporting People Contracts,53260,Risk of Homelessness and Floating Suppor,535100,31/07/2020,5100435698,16666.0,Arena Options,101746,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Collaborative Training Group,33301,Training,190150,11/08/2020,5100436715,4000.0,Ariel Trust Limited,117557,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Intermediate Care at Home,54520,Car Leasing Charges,350000,03/08/2020,5100435822,1486.44,Arnold Clark Finance Ltd,103263,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Transport - Adult Social Care,54950,Transport-Snad Cot,300600,10/08/2020,5100436564,720.0,Arrivals Star,101879,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,12/08/2020,5100436810,1575.0,Arrivals Star,101879,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,12/08/2020,5100436811,2070.0,Arrivals Star,101879,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Special Schools Transport,33208,Statemented - Special Unit Pupil Transpo,300750,12/08/2020,5100436883,1088.0,Arrivals Star,101879,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Housing Strategy,43620,Employees - Covid 19,199919,21/07/2020,5100434913,506.4,Ashberry Recruitment Limited,117639,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,South Warington M'way Junction,40057,Consult.& Prof. Serv,440000,17/08/2020,5100436519,5746.0,Atkins Ltd,105752,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Consult.& Prof. Serv,440000,19/08/2020,5100437429,5399.0,Atkins Ltd,105752,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Transport - Adult Social Care,54950,Transport-Snad Cot,300600,12/08/2020,5100436809,672.0,Avatar Exectutive Travel,117555,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Fiddlers Ferry Marina,51001,Specific Work,200200,03/08/2020,5100435800,4000.0,B & K Landscapes,105448,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Former GGHT Garage Sites,41847,Maintenance Work - Sub Contractors,301150,03/08/2020,5100435825,700.0,B & K Landscapes,105448,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,17/08/2020,5100436240,980.0,B & T Skip Hire,100921,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Vehicle Hire Charges,320000,24/08/2020,5100436241,680.0,B & T Skip Hire,100921,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Site Management,43530,Maintenance Work - Sub Contractors,301150,24/08/2020,5100437696,2000.0,B & T Skip Hire,100921,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Building Control Services,43410,Consult.& Prof. Serv,440000,20/07/2020,5100434811,870.0,B E Building Service,114760,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,Neighbourhood & Community Other,83002,Consult.& Prof. Serv,440000,14/08/2020,5100437112,2975.0,Baker Mallett LLP,116160,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,Neighbourhood & Community Other,83002,Consult.& Prof. Serv,440000,14/08/2020,5100437120,2750.0,Baker Mallett LLP,116160,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Environmental Works,531050,13/08/2020,5100436978,1413750.0,Balfour Beatty Civil Engineering Li,114442,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Priority Infrastructure,82009,Consult.& Prof. Serv,440000,13/08/2020,5100436979,74359.03,Balfour Beatty Civil Engineering Li,114442,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Priority Infrastructure,82009,Fct Repairs,532600,13/08/2020,5100436980,234543.85,Balfour Beatty Civil Engineering Li,114442,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Consult.& Prof. Serv,440000,24/08/2020,5100437671,1707.63,Bam Construction Ltd,105324,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Intermediate Care at Home,54520,Stationery,430150,21/08/2020,5100437561,1084.0,Banner Group Ltd,111644,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Leaving Care,31101,Looked after children in Warrington,301000,22/10/2019,5100408397,507.9,BedSpace,103530,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,21/07/2020,5100434944,3453.75,Beech Hall School Limited,117355,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,21/07/2020,5100434945,2943.5,Beech Hall School Limited,117355,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,25/08/2020,5100437792,5921.42,Belmont School Limited,400047,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Accidental Damage - Sub Contractors,301200,05/05/2020,5100427865,655.06,Bentleys Motors Warrington Ltd,104511,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environment & Regeneration Other,82002,Consult.& Prof. Serv,440000,16/07/2020,5100434506,650.0,Bob Costello Associates,115107,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Materials,400500,07/08/2020,5100436333,3010.0,Boss Stone Ltd,117671,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Other Commercial Prop.,43560,Consult.& Prof. Serv,440000,03/08/2020,5100435828,520.0,Brabners LLP,117064,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Other Commercial Prop.,43560,Consult.& Prof. Serv,440000,03/08/2020,5100435829,1000.0,Brabners LLP,117064,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Other Commercial Prop.,43560,Consult.& Prof. Serv,440000,03/08/2020,5100435830,2000.0,Brabners LLP,117064,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Other Commercial Prop.,43560,Consult.& Prof. Serv,440000,14/08/2020,5100437115,3477.0,Brabners LLP,117064,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Hatters Row,43710,Consult.& Prof. Serv,440000,14/08/2020,5100437124,842.0,Brabners LLP,117064,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Public Health Contract Payments,540000,07/08/2020,5100436309,272166.0,Bridgewater Community Healthcare,108932,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,27/07/2020,5100435353,82809.98,Bright Futures Care Ltd,114579,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,21/08/2020,5100437519,75609.03,Bright Futures Care Ltd,114579,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Public Health Contract Payments,540000,21/07/2020,5100434965,1300.0,Brookfield Surgery,108155,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Crematorium,41411,Consult.& Prof. Serv,440000,03/08/2020,5100435831,1025.0,BSI - Management Systems,104551,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,CCTV Operations exp,44380,Equipment Purchase & Contract,400000,07/08/2020,5100436329,29005.35,Bt Red Care,100411,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Democratic Services,11400,Security Systems,250000,07/08/2020,5100436330,7801.68,Bt Red Care,100411,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Urban Traffic Management Control,44370,Signal Equipment,531650,07/08/2020,5100436331,21601.81,Bt Red Care,100411,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Intermediate Care at Home,54520,Supplies & Services - Covid 19,499919,17/08/2020,5100437249,840.0,Bunzl Cleaning And Hygiene Supplies,104650,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Sensory,32010,Fees (Including Agents Fees),441450,12/08/2020,5100436751,6000.0,Care 4 Children Residential Service,116771,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Sensory,32010,Fees (Including Agents Fees),441450,12/08/2020,5100436752,7400.0,Care 4 Children Residential Service,116771,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Sensory,32010,Fees (Including Agents Fees),441450,12/08/2020,5100436753,11800.0,Care 4 Children Residential Service,116771,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Supporting People Contracts,53260,People with Mental Health Problems,535200,02/08/2020,5100435753,2977.54,Carr Gomm,106573,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Employment Skills,22210,Supplies & Services - Covid 19,499919,07/08/2020,5100436312,2235.0,Castle Industrial Supplies Ltd,117634,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Public Health Contract Payments,540000,21/07/2020,5100435011,1824.0,Causeway Medical Centre,109278,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Public Health Contract Payments,540000,21/07/2020,5100435011,1283.85,Causeway Medical Centre,109278,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Public Health Contract Payments,540000,21/07/2020,5100435011,642.0,Causeway Medical Centre,109278,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Drug Action,443600,17/08/2020,5100436324,129229.58,CGL,440139,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Prison Substance Misuse Services,53840,Drug Action,443600,17/08/2020,5100436325,94806.67,CGL,440139,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Domestic (Drivers & Collectors),41840,Bulky Waste Collections,442600,17/08/2020,5100437068,9015.0,Changing Lives in Cheshire,111607,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Public Health Contract Payments,540000,16/07/2020,5100434615,680.0,Chapelford Medical Centre,117118,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT & Business Improvement,23020,Computer Hardware - Maintenance,450750,10/08/2020,5100436583,1693.25,Cheshire East Council,410116,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Appropriate Adults Project,33314,Consult.& Prof. Serv,440000,10/08/2020,5100436610,1414.43,Child Action North West,109412,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Public Health Licensing,41550,Training,190150,14/08/2020,5100437039,1600.0,Cieh,100887,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,School Brow Depot,41330,Annual Maintenance,442100,04/08/2020,5100431533,615.0,Clean Waste Ltd,117684,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Housing Strategy,43620,Equipment Purchase & Contract,400000,07/08/2020,5100436351,2100.0,Complete Home Energy Systems,111861,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Housing Strategy,43620,Equipment Purchase & Contract,400000,07/08/2020,5100436352,1800.0,Complete Home Energy Systems,111861,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Housing Strategy,43620,Equipment Purchase & Contract,400000,10/08/2020,5100436472,1800.0,Complete Home Energy Systems,111861,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Housing Strategy,43620,Equipment Purchase & Contract,400000,10/08/2020,5100436473,1800.0,Complete Home Energy Systems,111861,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Paper Recycling (Drivers & Collectors),41842,Waste Initiatives,443200,24/08/2020,5100437686,11536.08,Contenur UK Ltd,117538,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Markets,43711,Equipment Purchase & Contract,400000,14/07/2020,5100434334,1590.0,Contract Furniture Ltd,110861,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,MH Outreach,54090,Rent Of Premises,220000,12/08/2020,5100426073,504.0,Culture Warrington,100957,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,MH Outreach,54090,Rent Of Premises,220000,12/08/2020,5100426111,702.0,Culture Warrington,100957,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,MH Outreach,54090,Rent Of Premises,220000,12/08/2020,5100426310,732.0,Culture Warrington,100957,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,MH Outreach,54090,Rent Of Premises,220000,12/08/2020,5100426312,762.0,Culture Warrington,100957,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,MH Outreach,54090,Rent Of Premises,220000,12/08/2020,5100426313,672.0,Culture Warrington,100957,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Project Delivery & Communications,43830,Consult.& Prof. Serv,440000,24/08/2020,5100437518,650.0,Cushman & Wakefield Debenham Tie Le,116480,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Building Work,200850,21/07/2020,5100434974,3380.73,D J Hughes Construction Ltd,103261,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Homelessness,43650,Emergency Accommodation Allowance,550500,27/07/2020,5100435357,540.0,DANL Limited,116459,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Temporary Accomodation,43652,Maintenance Work - Sub Contractors,301150,27/07/2020,5100435358,502.0,DANL Limited,116459,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Temporary Accomodation,43652,Maintenance Work - Sub Contractors,301150,27/07/2020,5100435362,680.0,DANL Limited,116459,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Crematorium,41411,Equipment Purchase & Contract,400000,04/08/2020,5100435898,2017.93,Dash Information Systems Ltd,113111,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Open Spaces,82006,Equipment Purchase & Contract,400000,22/07/2020,5100435089,3681.0,David Webster & Sons Ltd,102202,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Materials,400500,22/07/2020,5100435090,980.0,David Webster & Sons Ltd,102202,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Equipment Purchase & Contract,400000,22/07/2020,5100435092,7650.0,David Webster & Sons Ltd,102202,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Hardware - Purchase,450700,10/07/2020,5100433966,1799.6,Dell,104659,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Hardware - Purchase,450700,10/07/2020,5100433967,4499.0,Dell,104659,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Hardware - Purchase,450700,13/07/2020,5100434145,4499.0,Dell,104659,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Hardware - Purchase,450700,13/07/2020,5100434145,1136.0,Dell,104659,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Hardware - Purchase,450700,13/07/2020,5100434145,1098.0,Dell,104659,2020,August
