BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Named Drainage Schm,532100,11/07/2022,5100502734,3914.21,Dowhigh Ltd,105350,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,11/07/2022,5100502745,2397.0,Vivid Resourcing Limited,115752,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Development Control,43430,Consult.& Prof. Serv,440000,11/07/2022,5100502746,1005.0,Vivid Resourcing Limited,115752,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Telecare/Sensory,54560,Health Awareness,441950,12/07/2022,5100502809,915.86,Rhino Smart Systems Ltd,118610,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,12/07/2022,5100502816,2400.0,AMW Lift & Mobility Services Ltd,112766,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,12/07/2022,5100502817,918.5,AMW Lift & Mobility Services Ltd,112766,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Lifts from Stock,400850,12/07/2022,5100502818,5395.0,AMW Lift & Mobility Services Ltd,112766,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Named Drainage Schm,532100,02/08/2022,5100502831,2587.65,Dowhigh Ltd,105350,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Permanence staff teams,31021,Fees (Including Agents Fees),441450,12/07/2022,5100502842,700.0,Child Psychology Service CIC,115739,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Recruitment & Advertising,52123,Subscriptions,470000,02/08/2022,5100502843,1012.5,Cantium Business Solutions Ltd,462309,2022,August
